Accession,A_NAT_151,A_NAT_264,A_NAT_661,A_NAT_692,A_NAT_803,A_NAT_919,A_T_151,A_T_264,A_T_661,A_T_692,A_T_803,A_T_919,I_NAT_160,I_NAT_253,I_NAT_557,I_NAT_693,I_NAT_954,I_NAT_978,I_T_160,I_T_253,I_T_557,I_T_693,I_T_954,I_T_978
P06702,26.3281,26.8323,25.4368,25.4925,27.6255,25.6586,27.4204,26.3263,25.2946,25.3819,25.4763,26.7252,25.7713,26.1838,25.0185,25.2253,26.3251,27.0299,25.8957,27.7061,24.9467,25.0827,23.6661,26.329
P06703,23.2676,24.302,24.9183,23.8803,23.4387,25.4325,22.9793,24.3244,23.9242,23.3112,22.5264,24.7217,24.5938,23.3022,22.7326,22.9269,23.9502,24.5148,24.8392,22.7461,23.6176,22.6604,23.4997,24.8487
P06727,25.8391,26.2111,25.6548,26.094,26.0112,26.7037,25.5808,24.9022,26.6252,25.6467,25.2783,25.8073,25.4923,27.1797,26.4824,25.7705,25.3452,25.9983,25.3939,25.53,25.7357,25.706,24.9546,26.6227
P06730,23.9417,23.815,24.6951,24.7725,24.1078,24.3693,24.5939,24.6361,23.9078,23.7316,24.1894,24.432,24.1497,24.1682,24.9513,24.9427,24.6445,23.7618,24.3812,24.8469,24.5222,24.9488,25.1651,23.2375
P06732,24.8669,24.9412,24.1965,26.0824,26.565,25.537,19.7701,19.7582,20.3277,19.8509,20.0746,23.7685,25.001,24.5835,24.775,25.481,22.9001,24.2819,24.4895,25.9127,22.9327,25.0522,20.2208,20.8931
P06733,29.6824,29.9283,29.8523,29.9889,29.5651,29.9035,29.4106,29.7398,29.5409,30.1125,29.7435,29.2049,30.0634,29.6618,29.8257,29.5326,29.9007,29.5579,29.7593,29.5552,29.4826,29.8571,29.6624,29.8374
P06737,24.0713,22.0052,23.1214,21.9837,23.9047,23.7788,20.7581,19.9838,22.6363,20.3936,22.3979,23.374,24.5171,22.1182,24.5684,23.1995,23.0316,22.5275,22.8003,22.5723,24.643,22.7352,19.905,22.3177
P06744,28.1686,28.6794,28.4079,28.4242,28.2353,28.6169,28.7395,28.0258,28.2438,28.962,28.6854,28.6912,28.6148,28.4934,28.2022,28.1369,28.1155,28.1133,28.4999,28.6684,28.2754,28.3548,28.152,28.4081
P06748,27.2474,26.8045,27.3087,27.1282,27.0364,26.5519,28.1092,28.3444,27.0878,27.8489,27.9618,28.1033,27.0779,26.966,27.2747,27.265,27.4481,26.6469,27.9034,28.2643,27.1563,27.6616,27.6512,26.9292
P06753,28.2001,29.5909,29.0625,28.7406,28.4801,29.0335,28.6823,28.0335,28.2009,28.5761,27.9711,28.2102,28.512,28.8643,28.1337,28.7966,28.1207,28.0315,27.6468,29.1528,28.4394,28.1683,27.9576,28.2219
P06756,21.6473,23.5793,23.8867,23.3508,22.9785,22.6255,22.2473,23.3115,23.7794,23.74,23.3712,23.453,23.0603,22.6882,22.808,22.8941,19.8771,23.4686,23.2156,22.5981,22.7944,22.7666,23.3123,23.384
P06865,22.5824,21.723,23.5941,22.9142,24.1834,22.3469,26.8755,27.2454,24.0894,24.9597,22.1208,23.5132,24.0493,21.5935,24.4088,24.223,24.5842,22.904,26.0034,26.7767,24.2095,24.6234,25.1705,23.5442
P07099,27.3723,27.1391,27.1245,27.1155,27.2481,27.0372,26.7521,26.6047,26.8772,27.1341,26.1901,26.6133,26.8839,26.914,27.0257,26.8539,27.2984,27.1115,26.895,26.427,27.3613,26.961,27.3644,27.5637
P07108,28.7105,25.7643,26.7976,27.9626,28.203,28.632,28.6724,26.8932,28.002,27.1908,28.6017,28.9973,28.7865,27.1694,28.4179,28.7102,28.5324,27.4362,28.7614,28.7419,28.4975,28.307,27.0553,26.8867
P07195,27.9832,28.253,28.248,28.1308,27.9407,28.5234,26.6577,27.418,28.2769,27.6026,26.8169,27.5073,28.6359,28.3285,27.9857,27.8896,27.9514,28.0542,28.1526,27.4157,27.4991,27.985,26.8416,28.0772
P07203,25.1983,25.8383,25.621,25.4962,25.6272,24.856,25.9376,26.1632,25.1536,25.6775,25.9508,25.3818,25.752,25.4487,25.4514,25.3296,25.1416,25.3039,25.5277,25.6995,25.6249,25.7407,25.3837,25.4544
P07237,29.0837,27.8322,27.8957,29.0172,28.7121,28.695,29.9258,29.1524,28.577,29.886,29.3568,29.6312,28.5092,28.1654,29.0486,29.1539,29.2406,28.3724,29.3739,29.3942,28.9799,29.3018,29.8183,28.278
P07288,31.8932,28.4241,29.7846,32.0043,32.1806,32.5829,32.7789,31.4038,30.6,31.3899,30.9029,32.5061,33.0976,31.182,32.4961,32.1372,32.2327,31.7934,32.7078,32.2584,33.1769,31.827,31.019,31.0168
P07305,27.3149,26.7648,27.9295,27.0474,27.4673,27.6832,27.167,27.7094,27.6504,26.0294,26.0097,28.4144,28.1153,26.5879,27.6173,27.6384,27.3183,26.7771,28.6795,27.6308,27.6127,27.5785,27.8272,27.0192
P07339,27.268,26.7657,27.4006,27.6186,27.3786,27.1348,28.6585,28.244,27.1849,27.1944,28.691,27.8799,27.274,27.1407,27.7098,27.6616,27.7714,26.8631,27.5451,28.9304,27.7218,27.6484,26.8152,27.1113
P07355,30.14,30.3103,30.95,30.2658,30.1712,30.607,29.6614,29.5686,30.4893,29.5131,30.5119,30.4647,30.2366,30.1631,29.792,29.7355,30.2967,30.3095,29.7028,29.2282,29.983,29.5928,28.6588,30.4063
P07357,23.871,23.7354,22.5464,22.5963,22.6197,22.4364,23.4492,22.0755,23.5173,23.1671,21.8003,20.939,21.4853,24.4054,22.3274,22.0029,22.1807,24.2456,20.9458,21.5647,22.6399,22.2169,22.6268,23.9504
P07358,24.2531,24.2244,23.3058,23.4487,23.5327,23.1856,23.7604,23.4439,23.82,23.7533,23.0376,22.2044,23.029,24.3471,23.3231,23.2089,22.8631,23.9736,22.3581,21.4665,22.5179,22.8908,23.1,24.2517
P07360,25.1222,23.9229,23.4754,22.7452,23.7048,23.0508,24.2721,22.3109,24.0559,23.6871,23.2777,22.61,22.7876,24.7824,23.0839,22.6081,23.5984,24.5144,21.5947,22.6921,22.9317,23.0973,23.4382,24.7663
P07384,27.3019,27.5813,27.2835,27.549,27.4483,27.3911,26.9168,27.3179,27.2479,27.1867,27.0981,26.9984,27.1262,27.4958,26.6085,27.4807,27.2744,26.9713,26.9885,26.8517,26.491,27.222,26.9301,27.1644
P07437,27.9146,28.0569,28.0352,28.3574,27.8591,27.79,27.8674,28.138,27.5399,27.6305,28.1965,27.6903,27.3524,27.9111,27.5594,27.5691,27.2927,28.0007,27.5136,27.4491,27.0857,27.9063,27.5688,28.1128
P07585,27.7526,28.4953,27.9991,27.6697,27.8827,29.1152,28.9048,26.9198,28.9109,28.2719,28.0345,27.3806,28.3544,29.5449,27.5505,27.3482,27.7484,29.3786,27.5949,28.3224,28.5201,27.7686,28.1849,28.588
P07602,27.4031,25.3238,26.6193,27.27,27.5615,28.1136,27.3063,27.9697,26.7371,27.1372,26.8841,28.0096,27.7334,26.2752,28.1726,27.9809,27.8812,26.925,28.3871,28.1257,28.7415,28.1771,26.0851,26.7849
P07686,25.5873,24.473,25.5082,25.7482,26.4739,26.6,28.3175,28.1126,26.2391,26.8035,25.7306,26.7069,26.1778,25.0978,26.4499,26.4334,27.0947,25.6013,27.2559,28.2542,26.7789,27.1943,26.1475,25.9289
P07737,29.7352,30.2392,29.9487,29.8649,29.605,30.1178,29.1854,29.6518,29.568,29.6837,28.9425,29.5613,29.8572,30.1411,29.6176,29.668,28.8391,29.9224,29.4147,29.0297,29.3477,29.7533,29.0764,29.7406
P07741,25.5646,24.89,25.2028,25.3817,25.4189,25.0399,25.7904,25.3957,25.1291,25.2844,26.1219,25.7305,25.1493,24.8071,25.6733,25.628,25.5807,25.2306,25.6697,26.328,25.8142,25.9159,24.9097,25.0402
P07814,26.1179,25.9279,25.6036,25.9513,25.9247,25.7157,26.6417,26.5796,25.7541,27.0933,26.0232,26.198,25.7481,25.385,26.2417,26.2899,25.9497,25.4889,26.3573,26.5637,25.9451,25.9447,26.3914,25.1693
P07858,25.0234,25.7638,25.283,25.7869,25.4147,25.5034,25.2223,25.026,24.7241,25.5442,25.9232,25.4642,25.1731,24.3876,25.4197,25.5678,26.365,24.8466,25.5993,25.7556,25.3971,25.5436,24.2394,25.0705
P07900,28.916,28.3909,28.4724,28.9388,28.7886,28.4658,29.2135,29.3549,28.7185,28.8847,29.0971,28.868,28.7608,28.4881,28.9962,29.0152,28.7461,28.4042,28.9276,29.2355,28.9854,28.8201,28.7137,28.3884
P07910,26.9144,26.7397,26.8204,27.3539,27.4313,26.4943,27.4273,28.3372,27.2779,27.57,27.4221,27.389,26.6565,26.9996,27.4693,27.6599,27.4477,26.8827,27.3618,27.5322,27.3304,27.249,27.6435,26.9473
P07942,25.6152,26.1648,25.5527,25.2997,25.6033,25.6882,25.7951,24.6474,25.3608,26.0016,26.5829,25.5328,25.4913,25.3568,25.0965,25.1223,25.3709,25.7217,25.7332,24.6024,25.457,25.2345,26.2826,25.9203
P07954,26.1393,25.6607,25.821,25.9895,26.1054,25.8125,26.6585,26.4091,25.7978,25.9807,26.5348,26.122,25.8002,26.1764,26.2878,26.1461,26.0886,25.9227,26.3047,27.0728,26.1893,26.4155,26.4519,25.8043
P07996,21.4542,22.3701,20.5676,19.3755,21.6128,21.9193,23.2443,23.0193,21.3435,23.5931,22.0687,20.5419,21.1933,22.2077,20.7627,20.8595,23.1436,21.3938,21.167,21.7709,20.8198,22.656,22.5999,21.7455
P08123,27.019,25.9786,28.2807,27.1391,27.3654,30.0297,28.3039,26.5584,29.1122,27.305,29.0242,28.4045,29.2663,28.5724,26.5536,27.061,26.7111,28.5099,28.9246,28.6349,27.6937,26.6899,27.6101,28.1756
P08133,28.767,29.8964,29.4752,28.9659,29.1545,29.2868,28.4215,28.2032,29.1816,28.6221,28.8855,28.3177,29.1363,29.4743,28.9813,28.9374,28.9316,29.618,28.5315,28.0246,28.9217,29.0351,28.6341,29.8695
P08185,23.1337,22.3992,22.9098,22.3543,22.5281,20.8374,22.414,21.683,22.692,22.2476,21.8741,21.0585,22.1482,23.7541,22.6365,21.8943,21.8696,22.6614,21.7328,22.4029,20.8182,20.1589,22.7672,23.9071
P08236,24.3266,22.6965,24.0794,23.736,25.4329,24.5366,26.6853,25.8991,25.1606,24.7008,25.537,25.8214,24.5111,22.9635,25.2391,25.4542,25.9139,24.5934,25.5757,27.3614,24.9936,26.2843,25.0481,25.194
P08237,25.7505,26.4432,26.2788,25.7829,26.2354,26.3618,25.1358,25.2738,26.4919,26.3687,25.2256,25.0254,26.008,26.7925,26.0918,25.7824,25.9449,26.2728,25.7557,25.663,25.6594,26.0626,26.2838,26.5138
P08238,29.7039,28.9357,29.122,29.5369,29.3459,29.2632,29.9217,30.0885,29.4994,29.9701,29.7437,29.4642,29.2016,28.8572,29.4738,29.485,29.532,29.0697,29.6709,30.0804,29.5748,29.5073,30.2021,29.1397
