Accession,A_NAT_151,A_NAT_264,A_NAT_661,A_NAT_692,A_NAT_803,A_NAT_919,A_T_151,A_T_264,A_T_661,A_T_692,A_T_803,A_T_919,I_NAT_160,I_NAT_253,I_NAT_557,I_NAT_693,I_NAT_954,I_NAT_978,I_T_160,I_T_253,I_T_557,I_T_693,I_T_954,I_T_978
Q13596,25.0358,24.9268,24.2377,24.4852,24.7407,25.0797,24.7611,25.1902,24.7724,24.6875,24.9941,24.8492,24.6571,24.5111,24.8751,24.9437,24.663,24.751,24.7173,24.9384,24.865,24.9334,24.7744,24.8282
Q13616,23.0241,22.9235,22.061,22.6686,22.6516,22.173,22.6327,22.2269,22.6206,22.4033,22.9406,22.6525,22.8532,22.2354,22.7029,23.0847,22.5235,22.6306,22.0214,22.7196,22.4491,22.9854,22.7573,23.0186
Q13617,21.2827,22.2231,21.3469,21.6298,21.9411,21.5814,22.1454,21.7146,21.6961,21.524,21.8418,21.6745,21.6729,21.5403,21.7154,21.4635,21.6215,21.6732,21.6097,22.053,21.6416,21.883,21.7591,22.0543
Q13618,23.4837,23.0456,23.0333,23.5174,23.5384,23.1281,23.7688,23.2747,23.304,23.577,23.729,23.4564,23.1224,23.5237,23.5335,23.5982,23.2077,23.178,22.8752,23.6421,23.3709,23.1399,23.6186,23.1872
Q13619,23.0232,21.6737,21.9721,22.6158,22.6077,22.0515,22.8668,23.2636,21.0041,22.5804,22.5787,22.0533,22.8676,21.7448,22.5862,23.1202,22.1835,22.0546,22.2457,23.1232,22.6034,22.8248,22.5389,21.3949
Q13630,24.3097,23.4732,24.4033,23.5795,23.9119,24.3352,24.7333,25.5585,23.918,25.4524,24.6737,25.1128,24.0655,23.9069,23.5024,24.2226,24.4852,23.9939,24.967,24.3592,23.6113,24.8879,25.1462,23.9554
Q13642,28.7394,30.2125,28.9803,29.6043,28.9606,29.742,28.5498,28.1591,29.5051,28.8217,28.605,27.8286,29.0422,29.9864,28.9764,28.2925,27.9702,30.381,27.9404,28.7601,29.1705,28.6274,28.6733,29.7458
Q13683,25.3958,27.235,25.8541,25.5028,25.2703,25.5624,25.299,24.9974,26.1955,25.1206,25.8616,23.2777,25.4572,27.3076,25.321,25.2437,24.8832,27.3289,24.0295,24.6248,25.6344,25.6208,25.2439,26.4875
Q13724,24.9457,23.8498,23.8787,24.3038,24.7688,22.9248,25.0644,25.1225,23.886,25.0755,24.5845,24.8806,24.3677,23.7539,24.3614,24.6926,24.5139,23.6339,25.1998,24.6164,24.5282,25.0028,24.9113,23.1068
Q13740,24.7431,23.5828,24.0488,24.2043,24.1452,22.0641,25.6655,26.0095,23.9514,24.8207,26.2307,26.2771,24.8361,22.9802,24.8185,24.2612,24.5857,23.2717,25.1766,26.0452,25.0392,24.9947,23.297,22.5947
Q13813,28.7036,28.5711,28.6604,28.7036,28.8069,28.5464,28.8952,28.9649,28.6845,28.8197,28.7848,28.6775,28.6469,28.6671,28.665,28.943,28.911,28.789,28.6574,28.7779,28.9396,28.6048,28.8201,28.7173
Q13825,20.2124,20.787,20.5516,22.9439,22.9393,22.8663,23.4767,23.5904,20.4297,20.7405,22.3826,23.4151,22.9048,22.6504,24.0191,23.3957,23.1987,20.171,23.4008,24.0111,23.4956,23.3619,23.0477,20.4433
Q13835,25.9294,20.034,24.0598,25.8264,25.9756,26.0237,25.3586,19.9689,25.2877,21.4357,21.092,25.2958,26.4642,24.9749,26.2827,26.446,25.8255,24.8097,26.0702,26.3576,26.2969,25.8523,22.2235,23.6403
Q13838,26.8874,26.6407,26.6842,27.007,27.1437,26.3427,27.381,27.9884,26.951,27.0155,27.2278,27.0556,26.6346,26.3384,26.9214,27.2242,26.8053,26.521,27.1891,27.3509,27.1247,26.9744,27.5752,26.6835
Q13867,21.8946,22.6473,22.3333,22.16,22.5011,22.5473,22.3405,22.2861,22.4224,22.4962,22.3226,22.1046,21.4635,22.7539,22.5127,22.4261,23.1702,22.6832,21.8848,23.1218,22.5705,22.4144,21.9855,22.7539
Q13885,29.9985,29.9787,29.6262,29.8435,29.8784,29.4388,30.4623,29.9061,29.6389,29.7086,30.2855,30.0871,29.7581,29.6723,29.8006,29.9802,29.6836,29.7761,29.4071,29.8788,29.7654,29.9167,29.4874,29.6872
Q13907,22.7855,20.185,21.1345,22.2251,22.0264,21.6333,21.3492,21.9513,22.1356,21.7944,22.4915,22.1902,22.6823,20.8151,22.4661,22.501,22.1978,21.0572,21.7432,21.6747,22.0473,22.5234,21.5923,20.046
Q13976,22.1888,23.8745,22.5363,22.3313,22.3643,21.9153,22.4458,20.2878,21.1246,21.7407,23.0732,20.2035,21.0447,23.8362,22.1824,19.5054,21.1834,24.077,20.5921,20.8778,22.47,21.2502,22.2803,22.6739
Q14008,24.2623,23.6417,23.8057,24.0955,24.3193,23.7804,24.3193,24.5381,24.0244,24.4484,24.6599,24.1873,23.7915,23.3254,24.3604,24.4335,24.2968,23.9564,23.7216,24.7068,24.484,24.6454,24.5505,23.7786
Q14011,24.9845,23.6701,23.2744,24.5331,24.8595,23.3328,24.9696,25.8737,24.3733,24.7744,24.5132,24.3187,24.5034,23.7157,24.8882,25.1542,25.2382,24.4901,25.5002,25.4395,24.8371,24.9245,25.6513,24.6312
Q14012,23.2343,22.4135,22.6454,23.0604,22.6853,23.1983,23.5124,22.6168,22.7717,22.8303,23.0098,23.0226,23.1002,22.5545,23.2721,22.7295,22.7812,22.5668,22.7972,22.2724,23.3679,22.7215,22.6493,22.484
Q14019,24.5633,25.6639,25.6502,25.029,25.4631,25.2721,25.1539,26.1976,24.8125,26.099,25.5243,25.0266,24.4722,24.1666,25.0329,25.0437,25.4989,24.8126,25.317,25.9816,25.0216,24.8857,25.2112,25.7457
Q14103,26.6197,26.4961,26.9215,26.8564,27.0257,26.0047,26.8722,27.9969,26.513,27.2664,27.2088,26.9415,26.6454,26.7183,27.1199,27.1485,26.6796,26.4526,27.2692,27.3393,26.984,27.0535,27.3077,26.8421
Q14108,25.6812,24.1324,24.4369,25.611,25.6432,25.1594,27.5257,27.1531,25.3764,25.5997,26.3957,26.2391,25.753,23.5877,25.7602,26.0767,26.3324,24.8356,25.976,27.2783,25.9593,26.0531,25.8765,24.5547
Q14112,27.6812,28.3245,28.0992,28.1115,27.9703,28.0517,26.6206,26.814,28.1684,27.2885,27.2062,25.8869,27.9647,28.7226,27.5973,27.6015,27.9229,28.9038,26.7027,26.3431,27.7915,27.7311,27.6003,28.6708
Q14118,24.9355,25.514,24.9418,24.539,25.0485,24.8397,24.6446,24.9944,25.3058,24.5898,24.525,24.8577,24.8857,24.9267,24.8911,24.7276,24.8717,24.9921,24.7116,24.5011,25.1331,24.9434,24.5885,25.169
Q14126,26.3344,21.2541,25.2279,26.0579,26.3217,25.9441,25.8687,25.5023,25.5255,23.7696,25.6125,26.1654,26.3011,25.1632,26.433,26.5069,26.2606,24.8243,26.3693,26.422,26.6079,26.2106,25.2919,24.8991
Q14139,22.2149,21.923,21.654,21.9015,21.8015,21.643,22.2556,21.6426,19.8841,21.7966,21.5568,21.9579,21.6776,21.21,21.8207,22.4615,21.7903,22.1218,21.792,22.3482,21.8109,22.4957,21.4974,19.7375
Q14141,22.3651,23.1302,24.4414,23.1182,24.0673,20.4246,23.1026,23.7091,23.6514,23.5989,23.4628,23.5795,23.7236,20.3236,23.595,23.8925,23.3736,23.6956,24.0561,22.6303,23.5932,24.1893,24.5433,24.1501
Q14151,24.3797,24.2828,24.6499,23.7281,23.9313,23.374,25.091,25.3937,24.2959,24.3698,24.8954,24.7482,24.1721,23.2956,24.0106,24.2852,24.3729,23.0085,24.117,24.7683,24.4941,24.0078,24.9738,23.3028
Q14152,25.8803,25.1635,25.631,25.5179,25.5169,25.0943,26.1126,25.9582,25.4002,25.8846,25.7634,25.9246,25.3755,25.5796,25.6882,25.7898,25.6939,25.2928,25.862,26.1487,25.6826,25.8582,25.7321,25.3666
Q14155,20.4931,21.633,21.4257,21.4294,21.6429,19.8255,21.8584,22.4365,21.1518,21.3752,21.4178,21.5753,21.436,20.9499,21.5979,21.6684,21.3408,21.2744,21.3327,21.7819,21.4436,19.6274,21.0197,21.0089
Q14157,22.85,22.3916,21.7523,22.8927,22.9962,22.4133,22.7128,23.6237,22.6284,23.0571,22.9695,22.9057,22.3982,22.0347,22.7092,23.075,22.7589,22.4976,22.8643,23.0565,22.7761,22.7308,23.0048,22.679
Q14160,23.3015,19.704,21.8474,22.7821,22.882,22.2732,23.143,24.8071,22.471,22.6381,22.3091,23.3269,22.4716,20.3479,22.724,23.5289,23.1853,21.2134,23.4509,24.6287,23.2605,23.4654,23.1284,19.8515
Q14165,23.5039,22.668,22.9531,22.8781,22.999,22.7106,23.9163,24.1405,22.8031,23.383,23.8364,24.1275,23.6437,22.8755,23.3074,23.5772,24.3008,23.7059,23.5051,23.5845,22.8831,23.9944,25.1782,23.6378
Q14166,24.9775,23.8827,22.0214,24.5168,24.5219,24.2503,25.7105,25.6868,24.5299,24.9526,25.8325,25.2224,24.5464,21.3515,25.1212,25.2999,25.1102,24.453,25.5589,25.0853,25.3972,24.5616,25.9521,22.5559
Q14192,24.5363,25.5302,25.8636,24.7403,24.718,24.4836,23.7974,24.9448,25.5626,25.2901,25.9621,24.092,24.7431,25.0733,24.2139,23.9182,24.8271,25.4604,24.6079,23.5215,24.5818,24.8169,24.3749,25.5328
Q14194,22.1612,22.0896,22.3433,22.1124,22.0615,21.7805,20.5282,21.3223,21.6641,22.5553,21.528,22.194,22.4704,20.5467,20.1454,20.8699,21.8579,21.8316,22.1031,20.4639,19.7524,20.0685,21.509,22.5481
Q14195,29.3653,30.2887,29.8674,29.488,29.3198,29.8542,28.8737,28.9267,29.5193,29.1101,29.0817,28.5937,29.8041,29.8285,29.3365,29.1288,28.9706,29.9344,28.6981,28.3337,29.03,29.4634,28.9084,29.7888
Q14203,25.4839,25.7825,25.4973,25.7404,25.5261,25.5726,25.5167,25.0599,25.5988,25.8327,25.5038,25.529,25.5141,25.4475,25.4629,25.5757,25.3676,25.5146,25.4106,25.3863,25.4496,25.4757,25.6625,25.6502
Q14204,28.7206,28.8162,28.6351,28.644,28.6284,28.6007,28.9917,28.8164,28.6826,29.0175,28.8162,28.7128,28.6051,28.4839,28.7855,28.8339,28.5512,28.5897,28.7918,28.8203,28.6797,28.7482,28.9507,28.4592
Q14232,22.5158,22.4291,22.1532,22.1575,22.5872,21.6521,22.8608,23.0125,22.5628,22.6798,22.991,22.3898,22.2989,21.8036,22.2901,22.1204,22.2895,22.0083,22.748,22.6046,22.32,22.2953,22.2568,22.0687
Q14240,25.3515,25.4753,25.5065,25.7724,25.5883,25.0543,25.383,25.8446,25.0625,24.4818,26.0308,25.1078,25.2081,24.9458,25.6484,25.8814,25.5564,25.3919,25.4663,25.5649,25.5113,25.1641,25.2367,25.1604
Q14247,25.5736,25.4888,24.9718,25.9988,25.5563,25.5956,25.4719,25.4924,25.7301,25.4707,25.9827,25.6891,25.4131,24.946,25.7641,26.1348,25.6029,25.6982,25.5988,25.393,25.3996,25.5245,25.5278,25.4953
Q14254,25.3076,25.364,24.7341,25.3448,25.559,24.9597,24.1265,25.5814,25.1768,24.7506,24.6902,24.9269,25.536,25.1757,25.592,25.6935,25.8934,25.1534,25.0958,25.1209,25.4695,25.4012,25.1617,25.5583
Q14257,20.9542,22.3578,21.7825,21.9933,22.265,21.784,22.5716,22.812,21.3796,22.0099,23.1253,22.0191,21.6684,21.9014,21.6025,22.2349,21.3413,21.5855,22.1204,22.3786,21.7072,21.773,22.5019,21.2569
Q14258,24.5003,24.2303,23.7608,24.1455,24.7535,24.324,24.7009,24.9366,24.638,24.3127,24.2284,24.399,24.2966,22.9329,24.7087,24.771,24.6067,24.3545,24.6324,24.9172,24.8223,24.7785,24.9667,24.5253
Q14315,30.7369,31.7079,31.0424,31.2024,30.8121,31.2006,29.856,29.0988,30.9824,30.4389,29.9187,29.5542,30.8296,31.0186,30.6527,30.6521,30.3506,31.1855,30.0813,29.3504,30.5533,30.7566,30.2839,31.333
Q14344,22.4892,23.469,23.3647,23.479,22.8039,23.0743,23.5012,23.5998,22.8781,22.6502,22.487,22.8221,22.3659,23.0463,23.26,23.279,23.3104,22.9148,22.4091,22.9738,22.9858,22.9732,22.5615,23.4549
Q14353,23.0125,21.9091,20.727,22.5095,22.715,22.471,22.391,22.2992,22.6023,22.2446,23.3653,23.1117,22.9621,21.0549,22.9222,22.9899,22.6253,22.1431,22.713,23.0594,22.6254,22.8271,21.8513,20.6233
Q14376,22.9802,21.4092,19.9436,22.7309,22.4935,21.0678,23.6244,23.1689,22.735,22.9856,25.0079,22.8444,22.5974,22.4594,22.9174,23.2787,22.6336,22.5388,23.0345,22.8329,23.1551,23.2236,22.9889,21.9011
Q14435,23.1363,19.1735,21.247,21.8448,21.8893,22.0308,24.0923,23.1192,20.3553,23.6476,24.7028,24.189,22.7878,19.621,23.6016,23.1938,23.2008,20.2693,23.81,24.385,23.8775,23.321,23.0535,20.2122
Q14444,23.3446,22.5186,23.7502,23.192,23.0701,23.084,23.6937,24.5446,23.3496,23.752,23.7891,24.0584,23.7362,21.9906,23.1794,23.4282,24.2075,23.6824,23.8437,24.0896,23.4452,23.6596,23.9556,23.1584
Q14498,23.2936,22.9044,23.2433,23.1721,23.5285,23.0998,23.5068,24.3537,23.4738,23.6104,23.7907,23.4158,22.9692,20.356,23.3733,23.1435,23.4628,23.0781,23.7401,23.7099,23.4763,23.6927,23.9614,22.9108
Q14554,24.4554,23.1188,20.8287,23.6868,24.0786,24.5228,25.0705,25.4939,23.9919,26.1844,25.6731,26.2103,24.1573,23.702,24.1465,24.6326,24.5197,22.5784,25.714,24.8376,24.2271,25.1584,25.008,22.0439
Q14558,22.0362,21.6569,21.5802,21.8793,21.9728,22.0421,22.0722,21.0446,22.2649,21.8287,22.1975,21.9044,22.0989,22.1,21.71,21.9149,22.1003,21.8723,22.4325,21.8256,22.1715,22.1392,22.2339,21.6977
Q14624,26.7352,26.3963,25.017,25.6483,25.7793,24.2489,25.6935,25.3648,25.233,25.4618,24.919,20.2728,25.1997,27.1513,25.1921,25.0813,25.2811,25.9536,23.7925,23.96,24.2631,25.0727,24.8314,26.1768
Q14643,23.9473,24.877,23.8244,23.66,23.9606,24.0077,23.7182,22.8718,24.0433,23.5997,23.9783,22.5996,23.2552,24.6563,23.6702,23.5898,23.329,24.6531,23.1003,23.5814,23.8623,23.6193,24.3122,24.0709
Q14669,20.6708,20.0842,19.8894,20.9969,20.7485,20.6463,21.4044,21.0132,20.6064,22.4098,22.2459,19.9662,21.4139,20.9613,21.1044,21.6572,21.0475,20.743,21.0799,21.2813,20.9915,21.0116,20.8821,21.1826
Q14677,22.9301,19.7373,20.7476,22.994,23.0241,23.0496,23.3529,22.7143,22.7674,23.5446,22.6748,23.3314,23.1078,20.0955,22.5906,23.478,22.882,23.4878,23.5679,23.35,23.0876,23.2025,23.1178,22.6608
Q14683,21.8055,22.6136,23.6905,22.9469,23.2389,20.2154,22.8699,23.7904,22.2845,23.418,22.7912,23.3588,21.9597,22.2239,23.13,23.1089,23.2231,22.6495,23.2745,23.6766,22.9791,23.1268,23.4524,22.8292
Q14689,22.0433,20.3161,20.8041,22.3987,22.0936,21.8677,22.5093,22.8763,21.4628,22.0612,21.6428,21.9335,21.8742,21.1157,22.6285,23.2831,21.7864,21.3204,22.3481,23.1515,22.8109,21.8447,22.6493,21.2823
Q14696,23.1497,22.6145,23.2114,23.2911,23.2676,21.9339,23.3957,22.9014,23.0793,23.3806,23.0494,22.9061,23.4842,22.9053,23.1141,23.5051,23.2308,22.4692,23.2981,23.0377,23.0728,23.1392,23.1873,22.4119
Q14697,27.5057,27.0613,27.4485,27.346,27.5951,27.1761,27.5384,27.5183,27.4261,28.1166,27.5195,27.7309,27.4067,27.0721,27.4485,27.5946,27.731,27.1941,27.9871,27.4543,27.6567,27.7859,28.5697,27.3495
Q14738,21.3611,20.439,20.0676,21.6377,21.7813,21.31,21.8544,21.4775,21.8096,21.0217,22.0689,19.846,21.2842,21.3252,21.7127,21.9561,21.3445,22.0865,21.5765,19.1806,21.2697,21.7852,21.9255,21.3701
Q14746,23.5868,21.3196,21.6248,22.472,22.9902,21.7932,23.6657,22.7114,22.5054,23.2577,22.3982,23.3013,22.3119,21.1189,22.8059,23.2963,23.0415,20.3625,22.893,23.7792,22.9405,23.2374,22.9859,20.8491
Q14764,25.0007,25.937,25.2038,24.4884,24.826,24.2816,24.8815,25.447,24.6241,24.5736,24.8275,24.3627,24.3731,24.2799,24.1585,24.3435,24.4833,24.7086,24.4406,24.6975,23.9973,24.5842,24.3548,25.1919
Q14789,25.7,21.0441,22.9026,24.7012,25.0176,23.5185,26.1272,25.3605,25.0238,25.6523,25.3821,25.9398,25.591,22.4496,25.4494,26.0731,25.9932,20.9864,25.6136,25.6353,25.5375,25.926,25.5681,21.2417
Q14839,21.0952,21.164,22.0368,21.8322,21.9401,20.6951,21.6507,24.1143,21.7022,22.0588,23.1535,22.0927,20.6399,20.4719,21.827,21.7004,21.337,18.9918,21.4291,21.8995,21.3711,21.8558,22.3895,20.6906
Q14847,22.7289,20.9338,22.9798,23.1476,23.5572,25.2604,23.0759,20.0269,24.0477,23.7906,23.7264,24.4068,24.5635,20.9467,22.2749,22.6683,22.9713,24.268,23.9104,22.7829,23.5693,22.872,23.3633,23.661
Q14894,24.887,20.9409,24.0998,24.6459,24.7417,24.881,24.9429,24.811,23.8132,23.4849,20.4388,25.1951,24.8883,24.0319,24.3915,24.85,24.7488,24.0417,24.3795,23.879,24.1475,24.8322,23.8108,24.1053
Q14914,25.5567,24.7515,25.3575,25.5251,25.549,25.068,27.0509,26.4691,26.1577,26.5096,25.6611,24.5328,25.6713,24.0851,25.6157,25.5539,25.5994,25.0124,26.4394,24.2012,25.7954,25.5628,26.5534,24.5985
Q14938,22.5887,21.736,22.4588,22.0094,23.0002,20.3601,22.0002,22.2167,22.6511,22.6568,22.5639,22.5878,20.4244,22.6126,22.1099,22.6621,22.2668,19.6803,22.6604,21.7963,22.4232,22.5162,22.0204,20.6427
Q14974,26.0119,25.6215,26.0506,25.7304,25.9364,25.6382,25.9498,25.7618,25.8836,26.3828,26.0885,25.8706,25.7315,25.5626,25.8207,25.9033,26.1024,25.7716,26.2817,25.9649,26.0115,26.2523,25.9287,25.7264
Q14980,26.768,26.2671,27.0752,26.7935,27.0053,26.3884,26.8192,27.515,27.0214,27.4817,26.8804,27.5196,26.7353,26.1731,27.0632,27.2575,27.0529,26.3539,27.6801,27.4519,27.1587,27.3567,27.8333,26.4467
Q14BN4,26.1561,27.0074,26.3974,26.2898,26.231,26.4339,25.4422,24.707,26.4225,26.23,25.4361,24.8539,26.2249,26.4336,26.2954,26.2322,25.8989,26.9989,25.8201,24.7109,26.0326,26.2909,26.4308,27.129
Q15005,24.042,23.6309,23.2429,23.2108,19.9443,22.9196,23.0207,23.3303,23.3628,23.9843,19.7505,23.6777,22.6006,23.1836,19.004,23.1065,23.9806,23.0523,23.3964,22.9221,23.8668,23.8801,23.8222,23.431
Q15008,24.822,24.3892,23.8387,24.3811,24.5826,24.3865,24.9018,24.9752,24.1021,24.9829,24.9361,24.6873,24.221,24.1316,24.6274,24.4437,24.5465,24.4963,24.3763,25.0588,24.5334,24.8385,24.8508,24.266
Q15019,27.0861,27.5831,27.1955,27.0661,27.175,26.9391,26.9853,26.9693,27.3056,27.1174,27.2457,26.7753,27.1644,27.123,26.6659,26.988,27.0857,27.2913,27.1001,26.6136,27.0893,27.1051,27.1736,27.3634
Q15020,24.0024,23.4501,23.0988,23.785,23.9518,23.1262,23.9146,24.7926,23.2791,22.9415,24.0894,23.9512,23.6608,22.7103,23.63,23.9054,24.0421,22.9055,24.5835,24.2299,23.4481,23.8466,24.2702,23.235
Q15029,24.4702,24.0339,24.1893,24.386,24.4409,23.5836,24.8832,25.5154,24.6955,24.9272,24.4857,24.7901,24.2037,23.4018,24.2468,24.5916,24.6302,23.9881,25.0909,24.7894,24.3571,24.899,24.865,23.5513
Q15042,21.241,19.1221,20.8743,20.7978,20.9775,20.9963,21.141,21.0498,21.135,21.0782,20.379,21.616,21.2907,19.6757,20.8492,21.1737,20.2899,20.8695,20.4452,20.0005,20.6792,21.2657,20.0092,20.1723
Q15046,25.3361,24.7639,25.0436,24.9886,25.0344,24.7431,25.4356,25.038,24.646,25.3815,25.2582,24.8526,24.7261,24.2896,25.1779,25.207,25.0344,24.9055,25.3019,25.2423,24.9388,25.2635,24.3857,25.1738
Q15056,25.2941,24.6215,25.0745,25.5395,25.4489,25.4501,24.9015,25.4859,25.2859,25.2544,25.3227,25.2183,25.1552,21.3129,25.0325,25.0711,24.7525,25.1816,25.4899,24.9372,24.9168,25.3693,25.0308,24.7408
Q15063,25.6585,29.0523,28.143,27.1524,27.3531,27.4247,27.2605,30.3409,27.4807,28.8939,29.1264,27.7954,27.3588,26.6903,26.4172,27.8282,27.1565,26.1066,27.2285,27.8768,25.8701,27.1354,29.1962,27.2536
Q15067,23.6199,22.278,22.0305,23.4397,23.1466,22.8078,23.8647,23.183,22.9121,23.2863,23.5748,24.6688,23.1244,20.36,23.7375,23.8322,23.7912,22.6424,23.6773,23.5139,23.5382,23.5924,23.0989,22.5535
Q15075,24.1818,24.3246,24.1665,24.9817,23.9162,22.7389,24.9289,24.512,24.2595,24.4069,24.3753,23.7139,23.5666,22.6508,26.0592,24.6497,24.359,24.2659,24.4812,23.7076,23.26,24.2795,24.7265,23.6584
Q15084,27.3603,27.2443,26.9074,26.9388,27.198,27.0073,27.7073,27.3592,26.9349,28.1767,27.1242,27.7601,26.9175,26.5292,26.7899,27.4765,27.2572,26.4989,27.6322,27.0865,27.1635,27.292,27.6019,26.8202
Q15102,23.2362,20.9871,23.3028,23.4929,23.3203,22.3848,23.8207,23.9461,22.8082,24.1029,22.0986,24.2734,22.5924,22.4083,23.6978,23.0079,23.6027,22.7024,24.0182,23.7131,23.836,23.5059,23.5953,23.0023
Q15113,23.2745,23.8055,23.533,22.6398,23.1601,23.1271,24.3056,23.0421,22.9132,22.8799,24.3297,20.021,20.6398,24.3002,20.9527,21.9932,21.4925,24.8121,22.0589,23.4782,22.8287,22.6095,23.0472,24.3137
Q15121,25.333,26.2806,24.576,25.7774,26.339,24.8854,25.9697,25.7124,23.8423,24.7326,26.5945,24.6082,24.7815,25.7627,25.8427,25.5933,25.0126,25.1842,24.384,25.8337,25.6103,24.6655,24.9786,24.9865
Q15124,29.5042,30.8127,30.1505,29.913,29.6316,29.9746,29.208,28.002,30.1413,29.6462,29.1094,28.7362,29.9328,30.3867,29.4811,29.4819,29.2784,30.321,29.2566,28.6053,29.5132,29.8335,29.4002,30.4841
Q15125,24.9395,21.6314,21.0648,20.9712,23.6488,23.4919,23.1177,19.1021,24.0298,20.113,20.439,23.2679,24.7385,21.2525,23.3949,24.498,23.7913,23.0571,23.5036,23.3651,24.3893,24.1915,19.5771,22.9783
Q15126,22.0896,20.8298,20.856,21.5849,21.3492,20.5145,20.3991,21.9467,19.5841,21.6878,21.1591,20.6745,21.3759,21.7389,22.0565,21.8002,21.6966,22.133,22.0465,21.5381,22.0578,21.6592,20.6192,21.5191
Q15149,29.5674,30.213,30.2634,30.1266,29.9177,29.896,29.2314,29.7989,29.8081,29.5938,29.6441,29.3601,29.7965,29.7125,29.8818,30.0073,30.0005,29.9452,29.353,29.4024,29.8061,29.8211,29.3564,30.2497
Q15165,22.7608,21.2385,22.2948,22.3855,22.0478,20.909,22.1062,21.9948,21.8055,21.8054,22.7445,21.8986,22.6411,21.8599,22.4083,23.0602,22.2727,20.3279,21.801,22.8888,22.2812,21.7918,22.1355,21.7047
Q15181,26.5932,26.6777,26.3187,26.7206,26.699,26.2222,26.7799,27.0734,26.6588,27.1111,26.8061,26.8098,26.1744,26.1487,26.3553,26.4297,26.8073,26.3411,26.7949,27.0922,26.4223,26.9522,26.7383,26.6484
Q15185,26.3485,25.7585,25.3934,26.2008,26.1095,26.1197,26.8275,26.6399,26.2836,26.3843,26.8146,26.6164,26.3913,25.6954,26.5334,26.3941,25.9834,26.201,25.984,26.886,26.1984,26.3424,26.6315,26.4722
Q15233,25.8478,25.5009,25.749,25.5493,25.4511,25.4786,25.5396,26.0872,25.7416,26.1157,25.9806,25.8219,25.7302,24.1212,25.4361,25.726,25.5591,25.3887,26.4374,25.821,25.5761,25.7567,26.2941,25.4086
Q15257,25.8396,26.0535,25.2627,25.8675,26.1066,25.8348,25.8404,25.7638,25.6162,25.8142,25.9814,25.674,25.4956,25.7112,25.8783,26.2323,25.6668,25.6995,25.2772,25.8447,25.9177,26.3124,25.9214,25.7413
Q15286,22.8228,22.7077,23.0944,22.5868,20.0645,21.0464,23.1449,21.2978,21.3888,23.3498,22.9605,23.1454,23.3073,22.8486,23.2757,23.1447,22.7275,18.9636,23.2462,23.2539,22.9537,22.9763,21.3585,20.7504
Q15287,22.8568,22.7562,23.0348,23.412,23.6526,20.4759,23.427,24.4842,19.5448,23.3985,23.9376,23.3044,22.9108,22.5011,22.7619,23.5752,23.7152,20.9773,23.5104,23.4246,23.626,22.7098,23.168,20.541
Q15293,25.8181,24.8367,25.3371,26.0397,26.1369,24.8013,25.4578,26.1557,25.9817,25.4957,25.7017,25.7782,25.8469,25.3479,25.6131,26.1245,26.1677,25.5072,26.0001,26.0258,25.5383,26.0967,26.7737,25.3017
Q15363,24.1001,21.5588,23.1583,24.0845,23.7396,24.0282,24.8493,24.3704,23.8653,23.5126,24.1936,24.494,24.5902,23.3966,24.3572,24.6933,24.6091,22.8858,24.7043,24.8467,24.566,23.8037,24.4085,22.1263
Q15365,27.2655,26.392,26.9108,26.879,27.0928,27.0656,26.9266,27.4189,26.8662,27.3267,26.8412,27.2178,27.3025,26.6436,27.2587,27.2838,26.9524,26.5284,27.3712,27.277,27.0479,27.2964,27.1076,26.4997
Q15366,25.9982,25.0259,25.9646,26.018,26.1648,25.6392,25.7699,26.4834,25.8345,26.1713,26.0744,26.0214,25.7973,25.5463,26.1107,26.2694,25.9646,25.5552,26.287,26.5015,26.0705,25.9063,26.5185,25.8563
Q15369,23.2174,23.6802,23.7859,23.4907,23.1288,24.0654,23.486,24.5873,23.3113,23.3511,22.7449,23.6419,23.6038,22.4336,23.3081,23.0541,23.5477,23.2758,23.0885,23.7855,23.6321,22.7855,23.6372,23.3855
Q15370,23.4347,23.831,23.8141,24.4018,24.0464,23.9215,24.0588,25.0964,23.6204,23.8388,23.8676,23.735,24.0003,20.092,24.4017,24.3233,21.2861,21.8155,24.2138,24.4577,24.5568,23.6717,24.4939,19.8561
Q15382,22.1644,21.2565,21.9722,21.4172,21.9187,21.8259,21.6446,21.5978,21.4686,22.1123,21.4707,22.2083,21.7887,21.6888,21.6454,21.5646,21.1755,21.4699,22.0193,20.9858,20.8379,21.8208,21.0528,19.0165
Q15393,25.0814,24.7005,25.0009,24.8667,25.1524,24.4442,25.2529,25.843,24.8164,25.2816,25.1884,25.3852,24.7629,24.7908,25.1092,25.1856,25.0838,24.7031,25.3761,25.5045,25.0947,25.2522,25.4717,24.6422
Q15404,26.0088,27.3347,26.873,26.2282,26.31,27.0764,25.6551,25.485,26.7167,26.0975,26.0404,25.8474,26.6875,26.5238,26.2189,26.1151,25.8855,26.7645,25.8968,25.0257,25.8687,26.4388,25.8835,26.7928
Q15417,25.0095,25.6174,25.9401,25.358,25.0614,25.4645,24.9486,25.2921,25.9167,25.3979,26.2803,24.8258,25.2509,25.3549,25.1565,24.6517,24.6636,25.9806,25.2646,24.9741,25.4018,24.8953,24.4978,25.6146
